Model,Static (MB),Dynamic (MB),Total Peak (MB)
Qwen2.5-1.5B-Instruct-fp16,71452.9599609375,7.0908203125,71460.05078125
Qwen2.5-3B-Instruct-fp16,71542.97265625,7.24658203125,71550.21923828125
Qwen2.5-7B-Instruct-fp16,71550.8193359375,7.31689453125,71558.13623046875
Qwen2.5-7B-Instruct-int8,71531.7724609375,261.11767578125,71792.89013671875
Qwen2.5-7B-Instruct-int4,71533.9091796875,261.11767578125,71795.02685546875
Qwen2.5-14B-Instruct-fp16,71533.826171875,7.38037109375,71541.20654296875
Qwen2.5-14B-Instruct-int8,71548.255859375,270.98876953125,71819.24462890625
Qwen2.5-14B-Instruct-int4,71538.373046875,270.98876953125,71809.36181640625
